Year,Week,District,Stations,Cases
2019,29,JAJARKOT,"Jajarkot, Jajarkot_AWS",
2019,29,JHAPA,Gaida (Kankai),3.0
2019,29,JUMLA,Jumla,
2019,29,KAILALI,Tikapur,
2019,29,KALIKOT,"Manma, Manma_AWS",
2019,29,KANCHANPUR,Mahendra Nagar,
2019,29,KAPILBASTU,No station found in dataset,
2019,29,KASKI,Pokhara Airport,1.0
2019,29,KATHMANDU,"Bagmati River at Sundarijal, Bagmati River at Sundarijal Bridge, Kathmandu Airport",3.0
2019,29,KAVREPALANCHOK,No station found in dataset,
2019,29,KHOTANG,Diktel,
2019,29,LALITPUR,Khumaltar,2.0
2019,29,LAMJUNG,Khudi Bazar,
2019,29,MAHOTTARI,Jalesor,
2019,29,MAKWANPUR,Hetauda N.F.I.,
2019,29,MANANG,Manang Bhot,
2019,29,MORANG,Biratnagar Airport,1.0
2019,29,MUGU,Gamadi Shree Nagar,
2019,29,MUSTANG,"Jomsom, Jomsom TPB",
2019,29,MYAGDI,"Gurja Khani, Raughat Khola at Raughat",
2019,29,NUWAKOT,Nuwakot,
2019,29,OKHALDHUNGA,Okhaldhunga,
2019,29,PALPA,Tansen,1.0
2019,29,PANCHTHAR,Phidim (Panchther),
2019,29,PARBAT,"Kali Gandaki at Modi Beni, Kushma",
2019,29,PARSA,Birganj,
2019,29,PYUTHAN,"Bijuwar Tar, Bijuwatar",
2019,29,RAMECHHAP,Manthali,
2019,29,RASUWA,Dhunche,
2019,29,ROLPA,"Libang Gaun, Liwang",
2019,29,RUPANDEHI,Bhairahawa Airport,
2019,29,SALYAN,"Salyan Bazaar_AWS, Salyan Bazar",
2019,29,SANKHUWASABHA,Num,
2019,29,SAPTARI,Rajbiraj,
2019,29,SARLAHI,Karmaiya,
2019,29,SINDHULI,Sindhuli Madhi,
2019,29,SINDHUPALCHOK,No station found in dataset,
2019,29,SIRAHA,Lahan,
2019,29,SOLUKHUMBU,No station found in dataset,
2019,29,SUNSARI,Tarahara,
2019,29,SURKHET,Surkhet Airport (Birendranagar),
2019,29,SYANGJA,Syangja,
2019,29,TANAHU,Bandipur,
2019,29,TAPLEJUNG,Taplejung,
2019,29,TERHATHUM,Terhathum,
2019,29,UDAYAPUR,Udayapur Gadhi,
2019,29,WEST,No station found in dataset,
2019,29,WEST,No station found in dataset,
2019,29,,No station found in dataset,
2019,30,ACHHAM,Mangalsen,
2019,30,ARGHAKHANCHI,No station found in dataset,
2019,30,BAGLUNG,Baglung,
2019,30,BAITADI,Patan new,
2019,30,BAJHANG,Chainpur Bajhang new aws,
2019,30,BAJURA,Bajura (Martadi),
2019,30,BANKE,Khajura (Nepalganj),
2019,30,BARA,Simara Airport,
2019,30,BARDIYA,Gulariya,
2019,30,BHAKTAPUR,Bhaktapur,
